sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790001310.376673,488,0.146,-1.058,-67.891
XDA.XsDeviceId,1790001310.392646,489,0.146,-1.057,-67.892
XDA.XsDeviceId,1790001310.408284,490,0.146,-1.059,-67.895
XDA.XsDeviceId,1790001310.424231,491,0.145,-1.060,-67.896
XDA.XsDeviceId,1790001310.440016,492,0.145,-1.059,-67.895
XDA.XsDeviceId,1790001310.456007,493,0.143,-1.060,-67.896
XDA.XsDeviceId,1790001310.471970,494,0.144,-1.061,-67.894
XDA.XsDeviceId,1790001310.487923,495,0.144,-1.062,-67.892
XDA.XsDeviceId,1790001310.503934,496,0.145,-1.062,-67.892
XDA.XsDeviceId,1790001310.519902,497,0.143,-1.063,-67.893
XDA.XsDeviceId,1790001310.535959,498,0.146,-1.063,-67.891
XDA.XsDeviceId,1790001310.551750,499,0.145,-1.063,-67.890
XDA.XsDeviceId,1790001310.567860,500,0.144,-1.063,-67.890
XDA.XsDeviceId,1790001310.583846,501,0.144,-1.062,-67.888
XDA.XsDeviceId,1790001310.599844,502,0.145,-1.062,-67.890
XDA.XsDeviceId,1790001310.615837,503,0.144,-1.063,-67.893
XDA.XsDeviceId,1790001310.631828,504,0.146,-1.064,-67.892
XDA.XsDeviceId,1790001310.647716,505,0.145,-1.065,-67.892
XDA.XsDeviceId,1790001310.663694,506,0.145,-1.065,-67.893
XDA.XsDeviceId,1790001310.679676,507,0.145,-1.066,-67.894
XDA.XsDeviceId,1790001310.711748,508,0.145,-1.066,-67.894
XDA.XsDeviceId,1790001310.727371,509,0.146,-1.066,-67.895
XDA.XsDeviceId,1790001310.743126,510,0.146,-1.064,-67.894
XDA.XsDeviceId,1790001310.759175,511,0.145,-1.066,-67.892
XDA.XsDeviceId,1790001310.774497,512,0.144,-1.064,-67.893
XDA.XsDeviceId,1790001310.790555,513,0.144,-1.063,-67.896
XDA.XsDeviceId,1790001310.806619,514,0.144,-1.063,-67.895
XDA.XsDeviceId,1790001310.822304,515,0.145,-1.063,-67.895
XDA.XsDeviceId,1790001310.838003,516,0.144,-1.064,-67.896
XDA.XsDeviceId,1790001310.854017,517,0.145,-1.065,-67.895
XDA.XsDeviceId,1790001310.869956,518,0.145,-1.065,-67.895
XDA.XsDeviceId,1790001310.885633,519,0.145,-1.064,-67.894
XDA.XsDeviceId,1790001310.901816,520,0.145,-1.063,-67.897
XDA.XsDeviceId,1790001310.916814,521,0.147,-1.064,-67.897
XDA.XsDeviceId,1790001310.932903,522,0.146,-1.062,-67.896
XDA.XsDeviceId,1790001310.948941,523,0.145,-1.063,-67.897
